model,fold,macro_f1,precision_Decline,precision_Stable,precision_Growth,recall_Decline,recall_Stable,recall_Growth,f1_Decline,f1_Stable,f1_Growth,combo_id,start_year,start_month,window_months,target_offset,n_stores
rf,1,0.47214704210365155,0.3009387078961899,0.7032446226759023,0.41904761904761906,0.43460925039872406,0.5273373428102789,0.505166475315729,0.3556280587275693,0.6027183252616779,0.45809474232170744,sy2021_sm02_w1m_off1,2021,2,1,1,33267
rf,2,0.4795782251837679,0.31183368869936035,0.7124207385303991,0.4231870229007634,0.4668794892258579,0.5222860267979218,0.5088927137119909,0.37392138063279,0.602713789839066,0.46209950507944775,sy2021_sm02_w1m_off1,2021,2,1,1,33267
rf,3,0.476980248754219,0.30646929824561403,0.705710102489019,0.4248927038626609,0.4461292897047087,0.5272080940661744,0.5111876075731497,0.36334091647708805,0.603537329785569,0.4640625,sy2021_sm02_w1m_off1,2021,2,1,1,33267
rf,4,0.47434170018270977,0.3008174386920981,0.7092198581560284,0.42262739597942967,0.4405426975259378,0.519409513395298,0.5189437428243399,0.35751295336787564,0.599652832570617,0.4658593146096367,sy2021_sm02_w1m_off1,2021,2,1,1,33267
lgb,0,0.4922595890244173,0.3439450686641698,0.6997570288094411,0.4274527867342239,0.4393939393939394,0.5511208310552215,0.5327210103329506,0.3858543417366947,0.6166080440434317,0.4743163812931255,sy2021_sm02_w1m_off1,2021,2,1,1,33267
lgb,1,0.4908171417679714,0.34648058252427183,0.6955307262569832,0.42436974789915966,0.45534290271132377,0.5445598687807545,0.5218140068886338,0.39352170916609236,0.6108555657773689,0.46807415036045313,sy2021_sm02_w1m_off1,2021,2,1,1,33267
lgb,2,0.5011743504368003,0.3612281757977122,0.7138790035587189,0.423923006416132,0.4788507581803671,0.5485370522286027,0.5306942053930006,0.4118050789293068,0.6203803927632596,0.4713375796178344,sy2021_sm02_w1m_off1,2021,2,1,1,33267
lgb,3,0.4968401108721305,0.3425076452599388,0.7091675447839831,0.43436204514048826,0.44692737430167595,0.5520918785890074,0.5410212277682157,0.3878116343490305,0.6208487084870848,0.48185998978027594,sy2021_sm02_w1m_off1,2021,2,1,1,33267
lgb,4,0.5051279199560118,0.36636085626911313,0.7192667145938174,0.42620751341681573,0.47805267358339987,0.5470202296336796,0.5470723306544202,0.41481994459833793,0.6214285714285714,0.4791352438411262,sy2021_sm02_w1m_off1,2021,2,1,1,33267
rf,0,0.44330522144231654,0.302121433796635,0.7136721546170365,0.31715976331360946,0.3473507148864592,0.5887215825214054,0.4203921568627451,0.32316118935837246,0.6452030415790325,0.3615514333895447,sy2021_sm02_w1m_off2,2021,2,1,2,29254
